@Comp_Define_ID,COMP1, COMP2(AG), COMP3(AA),COMP4,COMP5,
@UNIT,TIME(h),DV(umol/L),AMT(umol),Rat dose = 2.4 mg/kg,4.8 mg/kg,12mg/kg
@ Rat Weight = 250 g,,,,,,
@CMT 2 = AG in central,,,CMT 3 = AA in central,,,
@ID,TIME,DV,AMT,MDV,CMT,DOSE
1,0,0,1.611170784,1,1,1.611170784
1,15,0.01088594,0,0,2,1.611170784
1,15,0.011988166,0,0,3,1.611170784
1,30,0.011132268,0,0,2,1.611170784
1,30,0.007652264,0,0,3,1.611170784
1,45,0.016528149,0,0,2,1.611170784
1,45,0.007003267,0,0,3,1.611170784
1,60,0.012728392,0,0,2,1.611170784
1,60,0.004795908,0,0,3,1.611170784
1,90,0.011212163,0,0,2,1.611170784
1,90,0.004174082,0,0,3,1.611170784
1,120,0.009267115,0,0,2,1.611170784
1,120,0.003288459,0,0,3,1.611170784
1,240,0.010509661,0,0,2,1.611170784
1,240,0.002783436,0,0,3,1.611170784
1,480,0.003083062,0,0,2,1.611170784
1,480,0.000950393,0,0,3,1.611170784
2,0,0,1.611170784,1,1,1.611170784
2,15,0.009379591,0,0,2,1.611170784
2,15,0.01598638,0,0,3,1.611170784
2,30,0.00972153,0,0,2,1.611170784
2,30,0.010947899,0,0,3,1.611170784
2,45,0.008831768,0,0,2,1.611170784
2,45,0.007906468,0,0,3,1.611170784
2,60,0.007410357,0,0,2,1.611170784
2,60,0.005108491,0,0,3,1.611170784
2,90,0.006925877,0,0,2,1.611170784
2,90,0.003372295,0,0,3,1.611170784
2,120,0.008191578,0,0,2,1.611170784
2,120,0.002206285,0,0,3,1.611170784
2,240,0.005755097,0,0,2,1.611170784
2,240,0.001721844,0,0,3,1.611170784
2,480,0.004380261,0,0,2,1.611170784
2,480,0.001200324,0,0,3,1.611170784
3,0,0,1.611170784,1,1,1.611170784
3,15,0.005041949,0,0,2,1.611170784
3,15,0.00546361,0,0,3,1.611170784
3,30,0.009189256,0,0,2,1.611170784
3,30,0.00426915,0,0,3,1.611170784
3,45,0.013793541,0,0,2,1.611170784
3,45,0.003508352,0,0,3,1.611170784
3,60,0.012781236,0,0,2,1.611170784
3,60,0.002751058,0,0,3,1.611170784
3,90,0.016413504,0,0,2,1.611170784
3,90,0.002806756,0,0,3,1.611170784
3,120,0.012401584,0,0,2,1.611170784
3,120,0.002666537,0,0,3,1.611170784
3,240,0.006814099,0,0,2,1.611170784
3,240,0.002280426,0,0,3,1.611170784
3,480,0.002592719,0,0,2,1.611170784
3,480,0.001055463,0,0,3,1.611170784
4,0,0,1.611170784,1,1,1.611170784
4,15,0.008265087,0,0,2,1.611170784
4,15,0.011020627,0,0,3,1.611170784
4,30,0.010574676,0,0,2,1.611170784
4,30,0.008921477,0,0,3,1.611170784
4,45,0.013169958,0,0,2,1.611170784
4,45,0.008358351,0,0,3,1.611170784
4,60,0.011904247,0,0,2,1.611170784
4,60,0.004599994,0,0,3,1.611170784
4,90,0.01055443,0,0,2,1.611170784
4,90,0.003553151,0,0,3,1.611170784
4,120,0.010742492,0,0,2,1.611170784
4,120,0.002817764,0,0,3,1.611170784
4,240,0.004588701,0,0,2,1.611170784
4,240,0.00473717,0,0,3,1.611170784
4,480,0.002496533,0,0,2,1.611170784
4,480,0.000985925,0,0,3,1.611170784
5,0,0,1.611170784,1,1,1.611170784
5,15,0.005262253,0,0,2,1.611170784
5,15,0.00804572,0,0,3,1.611170784
5,30,0.006910393,0,0,2,1.611170784
5,30,0.007793989,0,0,3,1.611170784
5,45,0.010554749,0,0,2,1.611170784
5,45,0.006059682,0,0,3,1.611170784
5,60,0.007832106,0,0,2,1.611170784
5,60,0.003036788,0,0,3,1.611170784
5,90,0.014815096,0,0,2,1.611170784
5,90,0.003090673,0,0,3,1.611170784
5,120,0.008267442,0,0,2,1.611170784
5,120,0.002820958,0,0,3,1.611170784
5,240,0.002241387,0,0,2,1.611170784
5,240,0.001284397,0,0,3,1.611170784
5,480,0.002560191,0,0,2,1.611170784
5,480,0.001046713,0,0,3,1.611170784
6,0,0,1.611170784,1,1,1.611170784
6,15,0.014206654,0,0,2,1.611170784
6,15,0.010589761,0,0,3,1.611170784
6,30,0.030568035,0,0,2,1.611170784
6,30,0.008491536,0,0,3,1.611170784
6,45,0.031357087,0,0,2,1.611170784
6,45,0.005055399,0,0,3,1.611170784
6,60,0.022174219,0,0,2,1.611170784
6,60,0.004288361,0,0,3,1.611170784
6,90,0.013391259,0,0,2,1.611170784
6,90,0.003295603,0,0,3,1.611170784
6,120,0.009951607,0,0,2,1.611170784
6,120,0.00260492,0,0,3,1.611170784
6,240,0.008052271,0,0,2,1.611170784
6,240,0.001649184,0,0,3,1.611170784
6,480,0.002776106,0,0,2,1.611170784
6,480,0.000926422,0,0,3,1.611170784
8,0,0,3.222341568,1,1,3.222341568
8,15,0.007112663,0,0,2,3.222341568
8,15,0.019282603,0,0,3,3.222341568
8,30,0.010154866,0,0,2,3.222341568
8,30,0.020514803,0,0,3,3.222341568
8,45,0.009477558,0,0,2,3.222341568
8,45,0.009933209,0,0,3,3.222341568
8,60,0.014797915,0,0,2,3.222341568
8,60,0.011467374,0,0,3,3.222341568
8,90,0.010105418,0,0,2,3.222341568
8,90,0.007984542,0,0,3,3.222341568
8,120,0.016308473,0,0,2,3.222341568
8,120,0.012891794,0,0,3,3.222341568
8,240,0.00526573,0,0,2,3.222341568
8,240,0.006695735,0,0,3,3.222341568
8,480,0.001438324,0,0,2,3.222341568
8,480,0.00160205,0,0,3,3.222341568
9,0,0,3.222341568,1,1,3.222341568
9,15,0.00518301,0,0,2,3.222341568
9,15,0.01941705,0,0,3,3.222341568
9,30,0.013148541,0,0,2,3.222341568
9,30,0.024910159,0,0,3,3.222341568
9,45,0.017751638,0,0,2,3.222341568
9,45,0.021848345,0,0,3,3.222341568
9,60,0.018615918,0,0,2,3.222341568
9,60,0.018086207,0,0,3,3.222341568
9,90,0.014918454,0,0,2,3.222341568
9,90,0.010602255,0,0,3,3.222341568
9,120,0.021973254,0,0,2,3.222341568
9,120,0.010170421,0,0,3,3.222341568
9,240,0.008483359,0,0,2,3.222341568
9,240,0.008289696,0,0,3,3.222341568
9,480,0.003438571,0,0,2,3.222341568
9,480,0.004610913,0,0,3,3.222341568
10,0,0,3.222341568,1,1,3.222341568
10,15,0.010041916,0,0,2,3.222341568
10,15,0.033149495,0,0,3,3.222341568
10,30,0.012189735,0,0,2,3.222341568
10,30,0.04120782,0,0,3,3.222341568
10,45,0.013322549,0,0,2,3.222341568
10,45,0.026815414,0,0,3,3.222341568
10,60,0.017823858,0,0,2,3.222341568
10,60,0.018006339,0,0,3,3.222341568
10,90,0.012731665,0,0,2,3.222341568
10,90,0.011436591,0,0,3,3.222341568
10,120,0.014738989,0,0,2,3.222341568
10,120,0.009227124,0,0,3,3.222341568
10,240,0.002160285,0,0,2,3.222341568
10,240,0.00299948,0,0,3,3.222341568
10,480,0.004502426,0,0,2,3.222341568
10,480,0.002498412,0,0,3,3.222341568
11,0,0,3.222341568,1,1,3.222341568
11,15,0.027756154,0,0,2,3.222341568
11,15,0.014595597,0,0,3,3.222341568
11,30,0.05933376,0,0,2,3.222341568
11,30,0.013971665,0,0,3,3.222341568
11,45,0.077723583,0,0,2,3.222341568
11,45,0.009495341,0,0,3,3.222341568
11,60,0.067857486,0,0,2,3.222341568
11,60,0.009181293,0,0,3,3.222341568
11,90,0.025358001,0,0,2,3.222341568
11,90,0.006751205,0,0,3,3.222341568
11,120,0.020412155,0,0,2,3.222341568
11,120,0.007880908,0,0,3,3.222341568
11,240,0.004449002,0,0,2,3.222341568
11,240,0.001965961,0,0,3,3.222341568
