TABLE NO.  1
 ID          TIME        DV          MDV         CMT         DL          IPRED       IWRES       DV          PRED        RES         WRES
  1.0000E+00  1.2000E+02  0.0000E+00  1.0000E+00  3.0000E+00  1.0000E+00  3.3462E-08 -3.3462E-08  0.0000E+00  3.3462E-08  0.0000E+00  0.0000E+00
  2.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  1.0000E+00  1.0000E+00  1.0887E+00 -1.0887E+00  0.0000E+00  1.0887E+00  0.0000E+00  0.0000E+00
  2.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  2.0000E+00  1.0000E+00  1.0887E+00 -1.0887E+00  0.0000E+00  1.0887E+00  0.0000E+00  0.0000E+00
  2.0000E+00  0.0000E+00  0.0000E+00  1.0000E+00  3.0000E+00  1.0000E+00  1.0887E+00 -1.0887E+00  0.0000E+00  1.0887E+00  0.0000E+00  0.0000E+00
  2.0000E+00  2.0000E+00  7.0005E-01  0.0000E+00  1.0000E+00  1.0000E+00  8.2858E-01 -1.2854E-01  7.0005E-01  8.2858E-01 -1.2854E-01 -7.3904E-01
  2.0000E+00  2.0000E+00  9.8590E-02  0.0000E+00  2.0000E+00  1.0000E+00  3.4260E-02  6.4330E-02  9.8590E-02  3.4260E-02  6.4330E-02  3.6987E-01
  2.0000E+00  2.0000E+00  2.6160E-01  0.0000E+00  3.0000E+00  1.0000E+00  1.9007E-01  7.1530E-02  2.6160E-01  1.9007E-01  7.1530E-02  4.1126E-01
  2.0000E+00  5.0000E+00  4.6367E-01  0.0000E+00  1.0000E+00  1.0000E+00  5.4645E-01 -8.2777E-02  4.6367E-01  5.4645E-01 -8.2777E-02 -4.7593E-01
  2.0000E+00  5.0000E+00  5.4269E-02  0.0000E+00  2.0000E+00  1.0000E+00  5.5928E-02 -1.6588E-03  5.4269E-02  5.5928E-02 -1.6588E-03 -9.5375E-03
  2.0000E+00  5.0000E+00  1.8639E-01  0.0000E+00  3.0000E+00  1.0000E+00  3.1462E-01 -1.2824E-01  1.8639E-01  3.1462E-01 -1.2824E-01 -7.3732E-01
  2.0000E+00  1.0000E+01  2.3654E-01  0.0000E+00  1.0000E+00  1.0000E+00  2.6973E-01 -3.3190E-02  2.3654E-01  2.6973E-01 -3.3190E-02 -1.9083E-01
  2.0000E+00  1.0000E+01  3.4595E-02  0.0000E+00  2.0000E+00  1.0000E+00  5.4691E-02 -2.0095E-02  3.4595E-02  5.4691E-02 -2.0095E-02 -1.1554E-01
  2.0000E+00  1.0000E+01  1.7408E-01  0.0000E+00  3.0000E+00  1.0000E+00  3.1336E-01 -1.3927E-01  1.7408E-01  3.1336E-01 -1.3927E-01 -8.0076E-01
  2.0000E+00  1.5000E+01  1.7202E-01  0.0000E+00  1.0000E+00  1.0000E+00  1.3197E-01  4.0047E-02  1.7202E-01  1.3197E-01  4.0047E-02  2.3025E-01
  2.0000E+00  1.5000E+01  2.7459E-02  0.0000E+00  2.0000E+00  1.0000E+00  3.9933E-02 -1.2474E-02  2.7459E-02  3.9933E-02 -1.2474E-02 -7.1718E-02
  2.0000E+00  1.5000E+01  1.1797E-01  0.0000E+00  3.0000E+00  1.0000E+00  2.3203E-01 -1.1406E-01  1.1797E-01  2.3203E-01 -1.1406E-01 -6.5581E-01
  2.0000E+00  2.0000E+01  1.1766E-01  0.0000E+00  1.0000E+00  1.0000E+00  6.4281E-02  5.3381E-02  1.1766E-01  6.4281E-02  5.3381E-02  3.0692E-01
  2.0000E+00  2.0000E+01  3.0066E-02  0.0000E+00  2.0000E+00  1.0000E+00  2.5844E-02  4.2215E-03  3.0066E-02  2.5844E-02  4.2215E-03  2.4271E-02
  2.0000E+00  2.0000E+01  1.4598E-01  0.0000E+00  3.0000E+00  1.0000E+00  1.5185E-01 -5.8736E-03  1.4598E-01  1.5185E-01 -5.8736E-03 -3.3770E-02
  2.0000E+00  3.0000E+01  5.9915E-02  0.0000E+00  1.0000E+00  1.0000E+00  1.5167E-02  4.4748E-02  5.9915E-02  1.5167E-02  4.4748E-02  2.5728E-01
  2.0000E+00  3.0000E+01  1.9941E-02  0.0000E+00  2.0000E+00  1.0000E+00  9.0896E-03  1.0852E-02  1.9941E-02  9.0896E-03  1.0852E-02  6.2393E-02
  2.0000E+00  3.0000E+01  8.2562E-02  0.0000E+00  3.0000E+00  1.0000E+00  5.4349E-02  2.8213E-02  8.2562E-02  5.4349E-02  2.8213E-02  1.6221E-01
  2.0000E+00  4.5000E+01  3.7580E-02  0.0000E+00  1.0000E+00  1.0000E+00  1.7317E-03  3.5848E-02  3.7580E-02  1.7317E-03  3.5848E-02  2.0611E-01
