TABLE NO.  2
 ID          KA          K20         K30         V2          DV          PRED        RES         WRES
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.2515E+00  8.6784E-01  3.8365E-01  2.8112E+00
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  8.4523E-02  3.9974E-02  4.4550E-02  3.2643E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.8306E-01  1.7259E-01  1.1047E-01  8.0944E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  6.7949E-01  5.9606E-01  8.3437E-02  6.1138E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  9.7183E-02  6.3445E-02  3.3738E-02  2.4721E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  3.9320E-01  2.8984E-01  1.0336E-01  7.5734E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  3.9554E-01  3.1868E-01  7.6852E-02  5.6312E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  4.1413E-02  5.9797E-02 -1.8384E-02 -1.3471E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.8224E-01  2.9879E-01 -1.6551E-02 -1.2127E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  9.0704E-02  1.7039E-01 -7.9683E-02 -5.8387E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  3.5984E-02  4.2524E-02 -6.5408E-03 -4.7927E-02
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  4.3938E-01  2.3112E-01  2.0827E-01  1.5260E+00
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  9.5029E-02  9.1098E-02  3.9302E-03  2.8798E-02
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  6.7323E-02  2.7040E-02  4.0283E-02  2.9517E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  7.3311E-01  1.5898E-01  5.7413E-01  4.2069E+00
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  7.8382E-02  2.6041E-02  5.2341E-02  3.8352E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.5186E-02  9.3841E-03  1.5802E-02  1.1579E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.2611E-01  6.3561E-02  6.2548E-02  4.5831E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  3.0037E-02  3.9800E-03  2.6057E-02  1.9093E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.1316E-02  1.6299E-03  9.6865E-03  7.0977E-02
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  4.4509E-02  1.3165E-02  3.1344E-02  2.2967E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.1091E-02  6.0829E-04  2.0483E-02  1.5008E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  5.4493E-03  2.6239E-04  5.1869E-03  3.8006E-02
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.0559E-02  2.4336E-03  1.8125E-02  1.3281E-01
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  1.4209E-05  0.0000E+00  0.0000E+00
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  6.3279E-06  0.0000E+00  0.0000E+00
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  9.0481E-03  7.1010E-05  8.9771E-03  6.5778E-02
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  3.3190E-07  0.0000E+00  0.0000E+00
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  1.4873E-07  0.0000E+00  0.0000E+00
  1.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  1.8701E-06  0.0000E+00  0.0000E+00
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  7.0005E-01  8.6784E-01 -1.6780E-01 -1.2295E+00
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  9.8590E-02  3.9974E-02  5.8616E-02  4.2950E-01
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.6160E-01  1.7259E-01  8.9009E-02  6.5221E-01
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  4.6367E-01  5.9606E-01 -1.3239E-01 -9.7004E-01
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  5.4269E-02  6.3445E-02 -9.1764E-03 -6.7239E-02
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.8639E-01  2.8984E-01 -1.0345E-01 -7.5805E-01
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.3654E-01  3.1868E-01 -8.2148E-02 -6.0193E-01
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  3.4595E-02  5.9797E-02 -2.5202E-02 -1.8466E-01
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.7408E-01  2.9879E-01 -1.2470E-01 -9.1375E-01
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.7202E-01  1.7039E-01  1.6285E-03  1.1933E-02
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.7459E-02  4.2524E-02 -1.5065E-02 -1.1039E-01
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.1797E-01  2.3112E-01 -1.1315E-01 -8.2909E-01
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.1766E-01  9.1098E-02  2.6563E-02  1.9464E-01
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  3.0066E-02  2.7040E-02  3.0259E-03  2.2172E-02
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.4598E-01  1.5898E-01 -1.3000E-02 -9.5258E-02
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  5.9915E-02  2.6041E-02  3.3874E-02  2.4821E-01
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.9941E-02  9.3841E-03  1.0557E-02  7.7357E-02
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  8.2562E-02  6.3561E-02  1.9001E-02  1.3923E-01
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  3.7580E-02  3.9800E-03  3.3600E-02  2.4620E-01
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.2817E-02  1.6299E-03  1.1187E-02  8.1969E-02
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  4.8137E-02  1.3165E-02  3.4972E-02  2.5625E-01
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  6.0829E-04  0.0000E+00  0.0000E+00
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  9.1171E-03  2.6239E-04  8.8547E-03  6.4882E-02
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  1.9701E-02  2.4336E-03  1.7268E-02  1.2653E-01
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  1.4209E-05  0.0000E+00  0.0000E+00
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  6.3279E-06  0.0000E+00  0.0000E+00
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  6.9208E-03  7.1010E-05  6.8498E-03  5.0191E-02
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  3.3190E-07  0.0000E+00  0.0000E+00
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  1.4873E-07  0.0000E+00  0.0000E+00
  2.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.4376E-03  1.8701E-06  2.4357E-03  1.7848E-02
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  6.9184E-01  8.6784E-01 -1.7601E-01 -1.2897E+00
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  8.5567E-02  3.9974E-02  4.5593E-02  3.3408E-01
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  2.3866E-01  1.7259E-01  6.6073E-02  4.8414E-01
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  4.9224E-01  5.9606E-01 -1.0381E-01 -7.6067E-01
  3.0000E+00  1.7327E-02  1.7937E-01  1.4015E-01  2.8903E-01  7.8575E-02  6.3445E-02  1.5130E-02  1.1086E-01
